id,part,text
0,lead,"Always follow these basic precautions when using this product."
1,top,"Read all the instructions before using the product."
2,top,"Do not allow children to play on the product. Close supervision of children is necessary when the product is used near children."
3,top,"Avoid placing hands or fingers inside the product."
4,top,"Stop using the product immediately if it has been physically damaged or modified. Improper use may cause unpredictable behavior, leading to fire, explosion, or injury."
5,top,"If the product overheats, emits unusual odors or smoke, leaks, or burns, stop using it immediately and contact customer support."
6,top,"Never attempt to open, repair, or modify the product. Any tampering may result in electric shock, fire, or battery damage."
7,top,"Be aware that liquid ejected from the product may cause irritation or burns. Avoid contact with leaking liquid and seek medical help if it contacts your eyes."
8,top,"Do not expose the product to fire or excessive temperatures. Doing so may result in an explosion if the temperature exceeds the rated limit."
9,top,"Any use of unrecommended or non-supplied materials or parts may result in a risk of fire, electric shock, or personal injury."
10,top,"Do not leave the battery charging unattended for long periods. Always monitor the charging process to ensure safe operation."
11,top,"To reduce the risk of electric shock, unplug the product from any power source before attempting any technical service or troubleshooting."

21,bottom,"Stop using the product immediately if it shows signs of damage. Discontinue use and contact customer support for assistance."
22,bottom,"Do not charge the battery in extremely hot or cold environments and strictly adhere to the specified operating temperature ranges."
23,bottom,"Charging temperature: -4°F to 113°F (-20°C to 45°C)."
24,bottom,"Discharging temperature: -4°F to 113°F (-20°C to 45°C)."
25,bottom,"To ensure proper air circulation, keep the product vents uncovered."
26,bottom,"Charging in damp or poorly ventilated spaces may cause safety hazards."
27,bottom,"Water can cause short circuits or damage to the charger, leading to safety risks."
28,bottom,"Unplug the power cord from a power outlet during a storm."
29,bottom,"Immediately turn off the product if it has fallen, been dropped, or exposed to vibrations."
30,bottom,"Ensure the device(s) are powered off before connecting them to the product."
31,bottom,"Do not charge the product using a damaged or broken charging cord or plug."
32,bottom,"Do not use the product to charge any device with a damaged or broken cable or plug."
33,bottom,"Always unplug the charging cord by pulling the plug, not the cord, to reduce the risk of damage."
34,bottom,"Ensure the product is properly secured when transporting it in a moving vehicle."
35,bottom,"DO NOT place the unit upside down or on its side during use or storage."
36,bottom,"DO NOT place the product on the floor or at a height less than 18 inches (457 mm) above the floor during operation in a workshop or repair facility."
37,bottom,"DO NOT use the product's accessories with other devices or equipment."
38,bottom,"Solar charge time depends on weather conditions. Place your solar panel where it will get as much direct sunlight as possible."
