项目代码,Region,Is_Latest,Page,Section,Section_order,Row_key,Row_label_en,Line_order,Param_en,Value_en,Row_label_fr,Param_fr,Value_fr,page_title_fr,section_title_fr,Model,Section_original,Section_normalized,Record_category,Normalization_applied,Normalization_note,Source_line,Review_flags,Review_messages
HTE132500A-EU-JAK,EU,TRUE,specifications,TEMPLATE VARS,99,tpl_power_button_label,POWER Button,1,,POWER Button,,,,,,JE-3600A,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,213,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
HTE132500A-EU-JAK,EU,TRUE,specifications,TEMPLATE VARS,99,tpl_usb_power_button_label,USB Power Button,1,,USB Power Button,,,,,,JE-3600A,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,214,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
HTE132500A-EU-JAK,EU,TRUE,specifications,TEMPLATE VARS,99,tpl_ac_power_button_label,AC Power Button,1,,AC Power Button,,,,,,JE-3600A,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,215,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
HTE132500A-EU-JAK,EU,TRUE,specifications,TEMPLATE VARS,99,tpl_battery_pack_name,Battery Pack Name,1,,Jackery Battery Pack 3600,,,,,,JE-3600A,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,216,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
,US,TRUE,specifications,TEMPLATE VARS,99,tpl_main_power_button_label,Main Power Button Label,1,,Main POWER Button,,,,,,JE-2000F,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,261,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
,US,TRUE,specifications,TEMPLATE VARS,99,tpl_dc_usb_power_button_label,DC USB Power Button Label,1,,DC/USB Power Button,,,,,,JE-2000F,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,262,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
,US,TRUE,specifications,TEMPLATE VARS,99,tpl_ac_power_button_label,AC Power Button Label,1,,AC Power Button,,,,,,JE-2000F,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,263,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
,US,TRUE,specifications,TEMPLATE VARS,99,tpl_front_dc12_port_label,Front DC12 Port Label,1,,DC 12V Port,,,,,,JE-2000F,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,264,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
,US,TRUE,specifications,TEMPLATE VARS,99,tpl_front_dc12_port_spec,Front DC12 Port Spec,1,,12V/10A Max,,,,,,JE-2000F,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,265,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
,US,TRUE,specifications,TEMPLATE VARS,99,tpl_front_usb_c_low_label,Front USB-C Low Label,1,,USB-C 30W Output,,,,,,JE-2000F,TEMPLATE VARS,TEMPLATE VARS,template,NO,Separate placeholder/template rows from the main specification table before section-level analysis.,266,TEMPLATE_RECORD,Template placeholder row is kept in the derived output but should be split from the spec source.
