symbol_key,Figure,image_path,label_en,aliases_en,text_en,label_fr,aliases_fr,text_fr,label_es,aliases_es,text_es,label_pt-BR,aliases_pt-BR,text_pt-BR,label_de,aliases_de,text_de,label_it,aliases_it,text_it,label_uk,aliases_uk,text_uk,label_jp,aliases_jp,text_jp,label_zh,aliases_zh,text_zh,label_ko,aliases_ko,text_ko,Is_Latest,Market,block_type,order,Model,Source_lang,notes
warning,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/warning_triangle.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/warning_triangle.png,WARNING,WARNING,"Hazardous practices that may result in severe injury, death, and/or property damage.",AVERTISSEMENT,AVERTISSEMENT,"Pratiques dangereuses pouvant entraîner des blessures graves, la mort et/ou des dommages matériels.",ADVERTENCIA,ADVERTENCIA,"Prácticas peligrosas que pueden resultar en lesiones graves, muerte y/o daños a la propiedad.",AVISO,AVISO,"Práticas perigosas que podem resultar em lesões graves, morte e/ou danos materiais.",WARNUNG,WARNUNG,"Gefährliche Handlungen, die zu schweren Verletzungen, zum Tod und/oder zu Sachschäden führen können.",AVVERTENZA,AVVERTENZA,"Pratiche pericolose che possono causare lesioni gravi, morte e/o danni materiali.",ПОПЕРЕДЖЕННЯ,ПОПЕРЕДЖЕННЯ,"Небезпечні дії, які можуть призвести до тяжких травм, смерті та/або пошкодження майна.",警告,警告,この表示を無視して、誤った取り扱いをすると、人が死亡または重傷を負う可能性が想定される内容を示しています。,警告,警告,,경고,test,"심각한 부상, 사망 및/또는 재산 피해를 초래할 수 있는 위험한 행동입니다.",TRUE,EU,signal_row,1,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
caution,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/warning_triangle.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/warning_triangle.png,CAUTION,CAUTION,Hazardous practices that may result in personal injury and/or property damage.,ATTENTION,ATTENTION,Pratiques dangereuses pouvant entraîner des blessures corporelles et/ou des dommages matériels.,PRECAUCIÓN,PRECAUCIÓN,Prácticas peligrosas que pueden resultar en lesiones personales y/o daños a la propiedad.,CUIDADO,CUIDADO,Práticas perigosas que podem resultar em lesões pessoais e/ou danos materiais.,VORSICHT,VORSICHT,"Gefährliche Handlungen, die zu Personenschäden und/oder zu Sachschäden führen können.",ATTENZIONE,ATTENZIONE,Pratiche pericolose che possono causare lesioni personali e/o danni materiali.,УВАГА,УВАГА,"Небезпечні дії, які можуть призвести до травмування людей та/або пошкодження майна.",ご注意,ご注意,この表示を無視して、誤った取り扱いをすると、人が傷害を負う可能性が想定される内容または物的損害の発生が想定される内容を示しています。,注意,注意,,주의,test,부상 및/또는 재산 피해를 초래할 수 있는 위험한 행동입니다.,TRUE,EU,signal_row,2,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
note,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/read_manual.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/read_manual.png,NOTE,NOTE,"Hazardous practices that may result in equipment damage, data loss, performance deterioration, or unanticipated results.",REMARQUE,REMARQUE,"Pratiques dangereuses pouvant entraîner des dommages à l'équipement, une perte de données, une détérioration des performances ou des résultats inattendus.",NOTA,NOTA,"Prácticas peligrosas que pueden resultar en daños en el equipo, pérdida de datos, deterioro del rendimiento o resultados inesperados.",NOTA,NOTA,"Práticas perigosas que podem resultar em danos ao equipamento, perda de dados, deterioração do desempenho ou resultados inesperados.",HINWEIS,HINWEIS,"Handlungen, die zu Geräteschäden, Datenverlust, Leistungseinbußen oder unerwarteten Ergebnissen führen können.",NOTA,NOTA,"Pratiche che possono causare danni all'apparecchiatura, perdita di dati, deterioramento delle prestazioni o risultati imprevisti.",ПРИМІТКА,ПРИМІТКА,"Дії, які можуть призвести до пошкодження обладнання, втрати даних, погіршення продуктивності або неочікуваних результатів.",備考,備考,この表示を無視して誤った取り扱いをすると、機器の損傷、データの消失、性能の低下、または予期しない動作が発生する可能性があることを示しています。,提示,提示,,참고,test,"장비 손상, 데이터 손실, 성능 저하 또는 예상치 못한 결과를 초래할 수 있는 위험한 행동입니다.",TRUE,EU,signal_row,3,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
tips,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/read_manual.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/read_manual.png,TIP,TIP,Supplements the important information or operation tips in the text.,CONSEIL,CONSEIL,Complète les informations importantes ou les conseils d'utilisation dans le texte.,CONSEJO,CONSEJO,Complementa la información importante o consejos de operación en el texto.,DICA,DICA,Complementa informações importantes ou dicas de operação no texto.,TIPP,TIPP,Ergänzt wichtige Informationen oder Bedienhinweise im Text.,SUGGERIMENTO,SUGGERIMENTO,Integra le informazioni importanti o i consigli operativi nel testo.,ПОРАДА,ПОРАДА,Доповнює важливу інформацію або поради з експлуатації в тексті.,ヒント,ヒント,文章内の重要な情報や操作のヒントを補足する内容を示しています。,提示,小贴士,,팁,test,본문의 중요한 정보 또는 작동 팁을 보충합니다.,TRUE,EU,signal_row,4,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
warning_triangle,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/warning_triangle.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/warning_triangle.png,,,Warning and Caution Symbols. Alerts individuals to information that must be read to avoid potential hazards or risks.,,,Symboles d’avertissement et de mise en garde. Signalent aux personnes des informations qui doivent être lues afin d’éviter les dangers ou risques potentiels.,,,Símbolos de advertencia y precaución. Alertan a las personas sobre información que debe leerse para evitar posibles peligros o riesgos.,,,Símbolos de Advertência e Cuidado. Deve ser lido para alertar sobre potenciais perigos ou riscos.,,,"Warn- und Hinweissymbole. Weisen Personen auf Informationen hin, die gelesen werden müssen, um potenzielle Gefahren oder Risiken zu vermeiden.",,,Simboli di avvertenza e cautela. Segnalano alle persone le informazioni che devono essere lette per evitare potenziali pericoli o rischi.,,,"Попереджувальні та застережні символи. Повідомляють користувачам про інформацію, яку необхідно прочитати, щоб уникнути потенційних небезпек або ризиків.",,,,,,,,test,경고 및 주의 기호. 잠재적 위험이나 위험을 알리기 위해 반드시 숙지해야 합니다.,TRUE,EU,table_row,1,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
read_manual,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/read_manual.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/read_manual.png,,,Read the user manual before operation.,,,Lire le manuel de l'opérateur ,,,Lea el manual del operador ,,,Leia o manual do usuário antes da operação.,,,Lesen Sie vor der Anwendung die Benutzeranleitung.,,,"Prima dell’utilizzo, leggere il manuale d’istruzioni.",,,Перед використанням прочитайте посібник користувача.,,,,,,,,test,사용 전에 사용자 설명서를 읽으십시오.,TRUE,EU,table_row,2,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
do_not_dismantle,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/do_not_dismantle.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/do_not_dismantle.png,,,Do not dismantle the product.,,,Ne démontez pas le produit.,,,No desarme el producto.,,,Não desmonte o produto.,,,Demontieren Sie das Produkt nicht.,,,Non smontare il prodotto.,,,Не розбирайте продукт.,,,,,,,,test,제품을 분해하지 마십시오.,TRUE,EU,table_row,7,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
no_open_flame,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/no_open_flame.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/no_open_flame.png,,,Keep the product away from fire.,,,Tenir le produit à l’écart du feu.,,,Mantenga el producto alejado del fuego.,,,Mantenha o produto longe de fogo.,,,Von Feuer fernhalten.,,,Tenere il prodotto lontano da fiamme.,,,Тримайте продукт подалі від вогню.,,,,,,,,test,제품을 화기로부터 멀리 두십시오.,TRUE,EU,table_row,8,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
keep_away_from_children,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/keep_away_from_children.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/keep_away_from_children.png,,,Keep away from children.,,,Les enfants ne sont pas admis,,,No se permiten niños ,,,Mantenha fora do alcance de crianças.,,,Halten Sie das Produkt fern von Kindern.,,,Tenere lontano dalla portata dei bambini.,,,Тримайте подалі від дітей.,,,,,,,,test,어린이의 손이 닿지 않는 곳에 보관하십시오.,TRUE,EU,table_row,9,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
li_ion,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/li_ion.png,manual_sources/JE-3600A/EU/en/2026-05-25/phase2/_attachments/symbols/li_ion.png,,,This symbol indicates that a lithium-ion (Li-ion) battery is inside the product and should be disposed of or recycled properly.,,,"Ce symbole indique que le produit contient une batterie lithium-ion (Li-ion), qui doit être éliminée ou recyclée de manière appropriée.",,,"Este símbolo indica que el producto contiene una batería de iones de litio (Li-ion), la cual debe desecharse o reciclarse de forma adecuada.",,,Este símbolo indica que há uma bateria de íons de lítio (Li-ion) dentro do produto e que ela deve ser descartada ou reciclada corretamente.,,,"Dieses Symbol zeigt an, dass sich ein Lithium-Ionen-Akku (Li-Ion) im Produkt befindet und ordnungsgemäß entsorgt oder recycelt werden sollte. ",,,"Questo simbolo indica che all’interno del prodotto è presente una batteria agli ioni di litio (Li-ion), la quale va smaltita o riciclata adeguatamente. ",,,"Цей символ вказує, що всередині продукту є літій-іонна (Li-ion) батарея, яку необхідно утилізувати або переробити належним чином.",,,,,,,,test,"이 기호는 제품 내부에 리튬이온(Li-ion) 배터리가 포함되어 있음을 나타내며, 적절히 폐기 또는 재활용해야 합니다.",TRUE,EU,table_row,10,JE-3600A,en,Published JE-3600A EU/UK 2026-05-25 source.
