source_key,source_kind,source_format,source_scope_model,source_scope_region,source_scope_lang,registry_revision,document_revision,page_count,page_width_mm,page_height_mm,sha256,attachment_required,source_pointer,notes
source/manual_js100i_eu_en_master,design-master,pdf-illustrator-compatible,JS-100I,EU,en,2026-09-06-intake,V2.0-2026-04-01,10,130,185,5d7ded6ba7810505cfb4c91b128a71cbef16a0e11aae720cdbd887559224b96a,TRUE,,"2026-09-06 操作者提供 371JNuMVqZ.ai，10 页英文母版已由配方锁定并完成本地确定性裁图；当前发布英文 PDF SHA-256=cec27af653d9f5da11d641e2431ddc0b71ced186bbadfd9594fa8cd9c96e1596，英文正文为 PDF 物理页 4–12。飞书资产源附件归档待审批后另行执行；本记录不宣称线上归档完成。recipe=data/asset_recipes/manual_js100i_eu_en_web.json"
source/manual_js40c_eu_en_master,design-master,pdf-illustrator-compatible,JS-40C,EU,en,2026-09-09-intake,2026-08-30,10,130,185,c5963d37311614f9fc5c9ae40c4da74a71cc53da8e36a92e60a7ff3f25854df9,TRUE,YndMj49yWjP03jNjCDojvAQdJ3pmz5aA/97v7518/1OUQt6g91M,"2026-09-09 operator-designated JS-40C EU/en source; PDF-compatible Illustrator 30.0 master, English body on physical pages 3-9. Eighteen Web crops were locally verified and hash-locked. No live Base write or formal publication claimed. recipe=data/asset_recipes/manual_js40c_eu_en_web.json"
source/manual_je1000f_us_master,design-master,ai-pdf-compatible,"JE-1000F,JE-1000F-SG",US,"en,fr,es",V0.2,V0.3,59,130,185,ee1fd9367021c99b3a16e14dc8aa702929c71ac4c98c7132816da05d90ce06ed,TRUE,https://xcn57j1urbe6.feishu.cn/wiki/BLYEwfMMFiS7wsk9MuvcOvdVnje?table=tblsXlZx61Ff5pQC&view=vewZcSuiUo&record=recvpvE4YHA8rW,"2026-07-15 已归档到独立 04_资产源文件记录 recvpvE4YHA8rW；AI、确定性 ZIP、manifest 三份附件均已回下载并逐字节匹配 SHA-256：AI=ee1fd9367021c99b3a16e14dc8aa702929c71ac4c98c7132816da05d90ce06ed，ZIP=775b291101026f0e3e01ffdf859b336000f5385a0ced8f7b713b1ab877305999，manifest=bda83e8dfb5035bb8c17f8ed76034b5a387432bd6efca2814375d7a3cf328db9。设计源修订表含 V0.3 记录；印刷标题栏仍标 V0.2，故分别保留 document_revision 与 registry_revision。"
source/manual_jbp2000b_eu_master_normalized,design-master,pdf-illustrator-compatible,JBP-2000B,EU,"en,fr,es,de,it,uk",V2.0-2026-08-03,V2.0-2026-08-03,54,130,185,baeb2da4fb1b85ee08ffec00c48cb21d38500dfff72fd20283d9a8c8360efc24,TRUE,https://xcn57j1urbe6.feishu.cn/wiki/BLYEwfMMFiS7wsk9MuvcOvdVnje?table=tblsXlZx61Ff5pQC&view=vewZcSuiUo&record=recvtPCUCO3Jgp,"2026-08-30 已归档到 04_资产源文件记录 recvtPCUCO3Jgp；规范化 Illustrator 可编辑 PDF、确定性 ZIP、manifest 三份附件均已回下载并逐字节匹配 SHA-256：PDF=baeb2da4fb1b85ee08ffec00c48cb21d38500dfff72fd20283d9a8c8360efc24，ZIP=659bad36c7604ed58ff9dada4bb5579e13763a5491262813d75c95c15fa19518，manifest=2b839302d610f75601d16cf676742f7ea1fa4797a05a2c2291ae5dfb45dfce4e。原始母版 SHA-256=0a240f2653ab4135b354e0d697e692842027689de578a72c1c802174a644c1c6；EU 六语，uk=乌克兰语，不作 UK 市场声明。"
source/manual_jbp2000b_jp_master,design-master,pdf-illustrator-compatible,JBP-2000B,JP,ja,V2.0-2026-05-28,V2.0-2026-05-28,12,130,185,f7830bf9fb96d9a3e36737bad5196bbfac2d262eaef642f3406fe77eecd02b0b,TRUE,https://xcn57j1urbe6.feishu.cn/wiki/BLYEwfMMFiS7wsk9MuvcOvdVnje?table=tblsXlZx61Ff5pQC&view=vewZcSuiUo&record=recvtROfre2SwH,"2026-08-31 已归档到 04_资产源文件记录 recvtROfre2SwH；Illustrator 可编辑 PDF、确定性 ZIP、manifest 三份附件均已回下载并逐字节匹配 SHA-256：PDF=f7830bf9fb96d9a3e36737bad5196bbfac2d262eaef642f3406fe77eecd02b0b，ZIP=722511edaf1d1a090886e4f147b607d2ca40e7bc7f388edbf485a2ef1b6d6f87，manifest=34a29507a5a0a86255736cb319f377d8f84ee63959b13098843d67587a9234bb；approved recipe SHA-256=adcddf10ab4899171ef80b3c8606bdbff7098369fb19f31a929f3139826ad90e；两次独立导出均为 40 artifacts 且哈希一致。"
source/manual_je1000f_jp_reference,design-master,pdf-illustrator-compatible,JE-1000F,JP,ja,2026-09-05,V1.0-2026-06-05,27,130.1,185.1,d88b32fedb3f38bcbefc6df635079d10da52fd4b16e1046913c86c0c2fa65b0f,TRUE,,2026-09-05 操作者提供参考并确认六项外加文字去除版；机身丝印与 logo 保留。原稿27页，SHA已锁定。飞书新资产源表写入返回91403，源文件/ZIP/manifest附件归档待补；不以本地像素通过替代线上归档。recipe=data/asset_recipes/manual_je1000f_jp_fixed_markings.json
source/manual_je1000f_eu_uk_20260618,design-master,pdf-illustrator-compatible,JE-1000F,EU,"en,fr,es,de,it,uk",V2.0-2026-06-18,V2.0-2026-06-18,92,130.1,185.1,0b4424aff74b3feee08208b1fc0e1d3dde0d2400315ccb72475f6cb2b4d11cfe,TRUE,,2026-09-05 操作者提供的 EU-UK V2.0 PDF；本轮只登记本地 source/crop/hash 并抽取 en/fr/es/de/it 含本地化文字和引线的 Web 完整面板，未写线上 Base。德语 p60 Overview 首条内部标签及 p69 车充 Vehículo 为源稿语言缺陷，像素忠实保留且不在资产阶段静默修字。recipe=data/asset_recipes/manual_je1000f_eu_web_panels.json
source/manual_jbp3600a_eu_master,design-master,pdf-illustrator-compatible,JBP-3600A,EU,en,V2.0-2026-08-04,V2.0-2026-08-04,10,130,185,e0ccc33427f89c77c30d32e073a3027123f4c8a9c9f5029d2378172a7f0a3761,TRUE,https://alidocs.dingtalk.com/i/nodes/Y1GwOBoZN4eYB7wRh2PjPoJM8j6QjKp9,2026-09-06 从 JBP-3600A 源文件清单下载 hgXiHot5Ow.ai 并核对 10 页可编辑 PDF；当前发布 PDF SHA-256=084dd4517feddcd9b77da10415a2787ec4427f882a7b819160725fdff679ccfe；Git 资产包 42 artifacts 已独立复跑同哈希；线上 04_资产源/定义/导出记录待审批入库；recipe=data/asset_recipes/manual_jbp3600a_eu_web.json
source/manual_je2000f_eu_uk_20260803,design-master,pdf-illustrator-compatible,JE-2000F,EU,"en,fr,es,de,it,uk",2026-09-08-intake,V2.0-2026-08-04,102,130,185,6b4af85236ccfee0f4d24ad55ee8b24684d023982b5da216023d4f716f183f3d,TRUE,,2026-09-08 以 Jackery Explorer 2000 User Manual (JE-2000F) EUUK V2.0-2026-08-04.pdf 为本地权威源；正式 PDF SHA-256=6b4af85236ccfee0f4d24ad55ee8b24684d023982b5da216023d4f716f183f3d；review source=origin/review/JE-2000F-EU@6333df933820c5ed9058d7ad6e4140517e9111de；英文正文为物理页 6–21，EU 声明尾页为物理页 102。原配方的 14 个 Web 面板哈希保持不变；另增纠正配方 data/asset_recipes/manual_je2000f_eu_web_full_frames.json，已确认 11 张完整灰框面板并完成本地哈希锁定。LCD 仍使用设备图加语义化 CSS/HTML 表格，不使用带表格的整图。未写线上 Base，不宣称线上资产归档完成。recipe=data/asset_recipes/manual_je2000f_eu_web.json; correction_recipe=data/asset_recipes/manual_je2000f_eu_web_full_frames.json
source/manual_je3000c_eu_uk_20260731,formal-published-source,pdf-illustrator-compatible,JE-3000C,EU,"en,fr,es,de,it,uk",2026-09-08-intake,V2.0-2026-07-31,102,130,185,55fee5a2f7538e58ebce17fc2bcfe3b0e4a8959233251961f6122ef7f420602d,TRUE,https://alidocs.dingtalk.com/i/nodes/a9E05BDRVQ6mQG3GhyyglLX9J63zgkYA,2026-09-08 以 Jackery Explorer 3000 User Manual (JE-3000C)-EUUK-V2.0-2026-07-31.pdf 为当前权威源；英文正文为 PDF 物理页 6-21，EU 声明尾页为物理页 102。18 个 Web 资产由 12x 确定性裁切生成并完成哈希锁定；LCD 为设备图加语义化 CSS/HTML 表格。需求记录 FBHsOuFTMQ 只读核验，未写线上 Base，也不宣称线上资产归档完成。recipe=data/asset_recipes/manual_je3000c_eu_web.json
