No.,Model,Region,Is_latest,Version,error_code,corrective_measures_en,corrective_measures_fr,corrective_measures_es,corrective_measures_pt-BR,corrective_measures_br,corrective_measures_de,corrective_measures_it,corrective_measures_ukr,corrective_measures_jp,corrective_measures_zh,render_preview_en
1,ALL,CN,TRUE,V1.0,F0,,,,,,,,,,重启产品。,
2,ALL,CN,TRUE,V1.0,F1,,,,,,,,,,重启产品。,
3,ALL,CN,TRUE,V1.0,F2,,,,,,,,,,重启产品。,
4,ALL,CN,TRUE,V1.0,F3,,,,,,,,,,重启产品。,
5,ALL,CN,TRUE,V1.0,F4,,,,,,,,,,将产品连接负载，放电直至故障消失。,
6,ALL,CN,TRUE,V1.0,F5,,,,,,,,,,通过太阳能板或交流墙充为产品充电，直至故障消失。,
7,ALL,CN,TRUE,V1.0,F6,,,,,,,,,,"1. 待电网恢复正常后再通过交流墙插为产品充电。
2. 检查进风口和出风口是否堵塞；确保产品两侧有 20 厘米的间隙。
3. 将产品放置在避免阳光直射、环境温度低于45℃的地方。
4. 断开产品连接的所有负载，保持产品空闲待机，等待故障消失。检查负载的启动功率是否超出本产品的输出范围。
5. 重启产品。",
8,ALL,CN,TRUE,V1.0,F7,,,,,,,,,,"1. 移除连接到产品的所有太阳能板。
2. 检查连接到产品的太阳能板的开路电压（V\ :sub:`oc`）。产品允许的最大直流输入电压为 60V。
3. 重启产品，保持产品空闲待机，等待故障消失。",
9,ALL,CN,TRUE,V1.0,F8,,,,,,,,,,请联系经销商或电小二客户支持。,
10,ALL,CN,TRUE,V1.0,F9,,,,,,,,,,移除连接到产品 USB 端口的负载，等待故障消失。,
11,ALL,CN,TRUE,V1.0,FE,,,,,,,,,,请联系经销商或电小二客户支持。,
1,ALL,EU,TRUE,V1.0,F0,Restart the product.,Redémarrez le produit.,Reiniciar el producto.,Reinicie o produto.,Reinicie o produto.,Starten Sie das Produkt neu.,Riavviare il prodotto.,Перезапустіть пристрій.,,,F0: Restart the product.
2,ALL,EU,TRUE,V1.0,F1,Restart the product.,Redémarrez le produit.,Reiniciar el producto.,Reinicie o produto.,Reinicie o produto.,Starten Sie das Produkt neu.,Riavviare il prodotto.,Перезапустіть пристрій.,,,F1: Restart the product.
3,ALL,EU,TRUE,V1.0,F2,Restart the product.,Redémarrez le produit.,Reiniciar el producto.,Reinicie o produto.,Reinicie o produto.,Starten Sie das Produkt neu.,Riavviare il prodotto.,Перезапустіть пристрій.,,,F2: Restart the product.
4,ALL,EU,TRUE,V1.0,F3,Restart the product.,Redémarrez le produit.,Reiniciar el producto.,Reinicie o produto.,Reinicie o produto.,Starten Sie das Produkt neu.,Riavviare il prodotto.,Перезапустіть пристрій.,,,F3: Restart the product.
5,ALL,EU,TRUE,V1.0,F4,Connect the product to loads to discharge its battery until the fault disappears.,Connectez le produit à des charges pour décharger sa batterie jusqu'à ce que l'erreur disparaisse.,Conecte el producto a cargas para descargar la batería hasta que la falla desaparezca.,Conecte o produto a cargas para descarregar a bateria até que a falha desapareça.,Conecte o produto a cargas para descarregar a bateria até que a falha desapareça.,"Schließen Sie das Produkt an Lasten an, um die Batterie zu entladen, bis der Fehler verschwindet.",Collega il prodotto ai carichi per scaricare la batteria fino a quando il guasto scompare.,"Підключіть до пристрою навантаження, щоб розрядити батарею, доки несправність не зникне.",,,F4: Connect the product to loads to discharge its battery until the fault disappears.
6,ALL,EU,TRUE,V1.0,F5,Charge the product via solar panels or an AC wall outlet until the fault disappears.,Chargez le produit via des panneaux solaires ou une prise murale CA jusqu'à ce que l'erreur disparaisse.,Cargue el producto mediante paneles solares o una toma de corriente CA hasta que la falla desaparezca.,Carregue o produto por painéis solares ou tomada de parede CA até que a falha desapareça.,Carregue o produto por painéis solares ou tomada de parede CA até que a falha desapareça.,"Laden Sie das Produkt über Solarmodule oder eine AC-Wandsteckdose, bis der Fehler verschwindet.",Caricare il prodotto tramite pannelli solari o una presa a muro CA fino a quando l'errore non scompare.,"Заряджайте пристрій через сонячні панелі або настінну розетку AC, доки несправність не зникне.",,,F5: Charge the product via solar panels or an AC wall outlet until the fault disappears.
