page_id,Figure,image_path,symbol_key,text_en,text_fr,text_es,text_pt-BR,text_de,text_it,text_uk,Is_Latest,Market,enabled,block_type,order,Region,Model,Source_lang
symbols,,,page_title,MEANING OF SYMBOLS,SIGNIFICATION DES SYMBOLES,SIGNIFICADO DE LOS SÍMBOLOS,,BEDEUTUNG DER SYMBOLE,SIGNIFICATO DEI SIMBOLI,ЗНАЧЕННЯ СИМВОЛІВ,TRUE,,,copy_row,10,,,en
symbols,,,header_symbol,Symbol,Symbole,Símbolo,,Symbol,Simbolo,Символ,TRUE,,,copy_row,20,,,en
symbols,,,header_meaning,Meaning,Signification,Significado,,Bedeutung,Significato,Значення,TRUE,,,copy_row,30,,,en
symbols,,,signal_label.warning,WARNING,AVERTISSEMENT,ADVERTENCIA,,WARNUNG,AVVERTENZA,ПОПЕРЕДЖЕННЯ,TRUE,,,copy_row,40,,,en
symbols,,,signal_label.caution,CAUTION,ATTENTION,PRECAUCIÓN,,VORSICHT,ATTENZIONE,УВАГА,TRUE,,,copy_row,50,,,en
symbols,,,signal_label.note,NOTE,REMARQUE,NOTA,,HINWEIS,NOTA,ПРИМІТКА,TRUE,,,copy_row,60,,,en
symbols,,,signal_label.tips,TIP,CONSEILS,CONSEJOS,,TIPP,SUGGERIMENTO,ПОРАДА,TRUE,,,copy_row,70,,,en
symbols,,,signal_meaning.warning,"Hazardous practices that may result in severe injury, death, and/or property damage.","Pratiques dangereuses pouvant entraîner des blessures graves, la mort et/ou des dommages matériels.","Prácticas peligrosas que pueden resultar en lesiones graves, muerte y/o daños a la propiedad.","Práticas perigosas que podem resultar em lesões graves, morte e/ou danos materiais.","Gefährliche Handlungen, die zu schweren Verletzungen, zum Tod und/oder zu Sachschäden führen können.","Pratiche pericolose che possono causare lesioni gravi, morte e/o danni materiali.","Небезпечні дії, які можуть призвести до тяжких травм, смерті та/або пошкодження майна.",TRUE,,,copy_row,80,,,en
symbols,,,signal_meaning.caution,Hazardous practices that may result in personal injury and/or property damage.,Pratiques dangereuses pouvant entraîner des blessures corporelles et/ou des dommages matériels.,Prácticas peligrosas que pueden resultar en lesiones personales y/o daños a la propiedad.,Práticas perigosas que podem resultar em lesões pessoais e/ou danos materiais.,"Gefährliche Handlungen, die zu Personenschäden und/oder zu Sachschäden führen können.",Pratiche pericolose che possono causare lesioni personali e/o danni materiali.,"Небезпечні дії, які можуть призвести до травмування людей та/або пошкодження майна.",TRUE,,,copy_row,90,,,en
symbols,,,signal_meaning.note,"Hazardous practices that may result in equipment damage, data loss, performance deterioration, or unanticipated results.","Pratiques dangereuses pouvant entraîner des dommages à l'équipement, une perte de données, une détérioration des performances ou des résultats inattendus.","Prácticas peligrosas que pueden resultar en daños en el equipo, pérdida de datos, deterioro del rendimiento o resultados inesperados.","Práticas perigosas que podem resultar em danos ao equipamento, perda de dados, deterioração do desempenho ou resultados inesperados.","Handlungen, die zu Geräteschäden, Datenverlust, Leistungseinbußen oder unerwarteten Ergebnissen führen können.","Pratiche che possono causare danni all'apparecchiatura, perdita di dati, deterioramento delle prestazioni o risultati imprevisti.","Дії, які можуть призвести до пошкодження обладнання, втрати даних, погіршення продуктивності або неочікуваних результатів.",TRUE,,,copy_row,100,,,en
