"id","part","text_en","text_fr","text_es","text_ja"
"0.0","lead_top","Always follow these basic precautions when using this product.","Respectez toujours les précautions de base lors de l'utilisation de ce produit.","Sigue siempre estas precauciones básicas al usar este producto.","本製品を使用する際は、以下の基本的な安全上の注意事項を必ず守ってください。"
"1.0","top","Read all the instructions before using the product.","Lisez toutes les instructions avant d'utiliser le produit.","Lee todas las instrucciones antes de usar el producto.","本製品を使用する前に、すべての説明をお読みください。"
"2.0","top","Do not allow children to play on the product. Close supervision of children is necessary when the product is used near children.","Ne laissez pas les enfants jouer avec le produit. Surveillez-les étroitement lorsque le produit est utilisé à proximité d'enfants.","No permitas que los niños jueguen sobre el producto. Se requiere la supervisión cercana de adultos cuando se use cerca de niños.","お子様が本製品で遊ばないようにしてください。お子様の近くで使用する場合は、必ず十分に監督してください。"
"3.0","top","Avoid placing hands or fingers inside the product.","Évitez de placer les mains ou les doigts à l'intérieur du produit.","Evita colocar las manos o los dedos dentro del producto.","本製品の内部に手や指を入れないでください。"
"4.0","top","Stop using the product immediately if it has been physically damaged or modified. Improper use may cause unpredictable behavior, leading to fire, explosion, or injury.","Arrêtez immédiatement d'utiliser le produit s'il a été endommagé physiquement ou modifié. Une mauvaise utilisation peut entraîner un comportement imprévisible, une explosion ou des blessures.","Deja de usar el producto de inmediato si ha sufrido daños físicos o modificaciones. El uso inadecuado puede causar un comportamiento impredecible, provocar una explosión o lesiones personales.","本製品が物理的に損傷していたり、改造されている場合は、直ちに使用を中止してください。不適切な使用は予期しない動作を引き起こし、火災、爆発、またはけがの原因となることがあります。"
"5.0","top","If the product overheats, emits unusual odors or smoke, leaks, or burns, stop using it immediately and contact customer support.","Si vous constatez une surchauffe, une odeur inhabituelle, de la fumée, des fuites ou des brûlures, cessez immédiatement l'utilisation et contactez le revendeur ou notre service client.","Si se observan los siguientes síntomas (incluyendo sobrecalentamiento, olores extraños o humo, fugas o quemaduras), deja de usar el producto de inmediato y contacta al distribuidor o a nuestro servicio al cliente.","本製品が過熱したり、異臭や煙が出たり、液漏れしたり、焼損した場合は、直ちに使用を中止し、カスタマーサポートに連絡してください。"
"6.0","top","Never attempt to open, repair, or modify the product. Any tampering may result in electric shock, fire, or battery damage.","Ne tentez jamais d'ouvrir, de réparer ou de modifier le produit. Toute altération, réassemblage ou modification peut entraîner un choc électrique, un incendie ou des dommages à la batterie.","Nunca intentes abrir, reparar o modificar el producto. Cualquier manipulación, reensamblaje o modificación puede resultar en descarga eléctrica, incendio o daños a la batería.","本製品を開けたり、修理したり、改造したりしないでください。分解や改造を行うと、感電、火災、またはバッテリー損傷の原因となることがあります。"
"7.0","top","Be aware that liquid ejected from the product may cause irritation or burns. Avoid contact with leaking liquid and seek medical help if it contacts your eyes.","Soyez conscient que le liquide éjecté du produit peut provoquer des brûlures. Une mauvaise utilisation peut provoquer des fuites. Évitez tout contact direct. En cas de contact avec les yeux, consultez immédiatement un médecin. En cas de contact avec la peau, rincez abondamment à l'eau claire et consultez un professionnel sans tarder.","Ten en cuenta que el líquido eyectado del producto puede causar irritación o quemaduras. El uso inapropiado o abusivo puede causar fugas en la batería. Evita el contacto directo. Si el líquido entra en contacto con los ojos, busca atención médica de inmediato. Si entra en contacto con otras partes del cuerpo, enjuaga con agua corriente y consulta a un médico de inmediato.","本製品から漏れ出た液体は、刺激ややけどを引き起こすおそれがあります。漏液に触れないでください。目に入った場合は、直ちに医師の診察を受けてください。"
"8.0","top","Do not expose the product to fire or excessive temperatures. Doing so may result in an explosion if the temperature exceeds the rated limit.","N'exposez pas le produit au feu ni à des températures excessives. Une température supérieure à 130°C (265°F) peut entraîner une explosion.","No expongas el producto al fuego o a temperaturas excesivas. Una temperatura superior a 130°C (265°F) puede resultar en una explosión.","本製品を火気や高温にさらさないでください。定格温度を超えると爆発のおそれがあります。"
"9.0","top","Any use of unrecommended or non-supplied materials or parts may result in a risk of fire, electric shock, or personal injury.","L'utilisation de matériaux ou de pièces non recommandés ou non fournis peut entraîner un risque d'incendie, de choc électrique ou de blessures.","El uso de materiales o piezas no recomendados o no suministrados puede implicar riesgo de incendio, descarga eléctrica o lesiones personales.","推奨されていない、または付属していない材料や部品を使用すると、火災、感電、またはけがの危険があります。"
"10.0","top","Do not leave the battery charging unattended for long periods. Always monitor the charging process to ensure safe operation.","Ne laissez jamais la batterie en charge sans surveillance pendant de longues périodes. Surveillez toujours la charge pour assurer une utilisation sûre.","No dejes la batería cargando sin supervisión durante períodos prolongados. Supervisa siempre el proceso de carga para garantizar un funcionamiento seguro.","バッテリーを長時間無人で充電しないでください。安全に使用するため、充電中は常に状態を確認してください。"
